17 0  10 0  17 0  17 0  15 0  17 0  10 0  10 0  17 0  15 0  19 0  17 0  19 0  10 0  5 1  11 2  17 0  15 0  5 1  15 0  
7 0  3 0  7 0  7 0  3 0  7 0  7 0  7 0  7 0  7 0  7 0  7 0  3 0  11 1  3 0  3 0  5 2  3 0  11 1  19 0  
12 2  13 0  14 0  15 0  16 2  17 0  18 0  19 0  0 0  1 0  2 0  3 0  4 0  5 0  6 0  7 0  8 0  9 0  10 0  11 0  
12 2  13 0  14 0  15 0  16 2  17 0  18 0  19 0  0 0  1 0  2 0  3 0  4 0  5 0  6 0  7 0  8 0  9 0  10 0  11 0  
11 0  19 0  1 2  12 0  13 0  5 0  18 0  17 0  0 0  19 0  3 0  16 0  15 2  11 0  4 0  6 0  7 0  8 0  9 0  10 0  
1 1  1 1  16 0  15 1  3 0  2 0  16 0  0 0  19 0  15 1  4 0  5 0  6 0  7 0  8 0  9 0  10 0  11 0  12 0  13 0  
12 2  13 0  14 0  15 0  16 2  17 0  18 0  19 0  0 0  1 0  2 0  3 0  4 0  5 0  6 0  7 0  8 0  9 0  10 0  11 0  
12 2  13 0  14 0  15 0  16 2  17 0  18 0  19 0  0 0  1 0  2 0  3 0  4 0  5 0  6 0  7 0  8 0  9 0  10 0  11 0  
10 0  5 1  11 1  10 0  12 0  9 0  10 0  6 0  10 0  12 0  5 1  11 1  1 0  18 0  10 0  14 0  4 0  9 0  3 0  15 0  
8 0  8 0  8 0  7 0  3 0  7 0  8 0  8 0  8 0  8 0  8 0  3 0  8 0  8 0  8 0  15 2  3 0  8 0  4 1  7 0  
12 2  13 0  14 0  15 0  16 2  17 0  18 0  19 0  0 0  1 0  2 0  3 0  4 0  5 0  6 0  7 0  8 0  9 0  10 0  11 0  
